hosp_ref_id,name,hosp_id,valid_from,valid_upto,latitude,longitude,location,sector,state,num_licensed_beds,num_staffed_beds,num_icu_beds,adult_icu_beds,pedi_icu_beds,ventilators_available,surgery_theatres
H-2006-0001,B.m. Birla Heart Research Centre,20060001,2018-10-30,2021-10-29,30.3255646,78.0436813,Dehradun,Private,Uttarakhand,62,62,0,0,0,0,3
H-2006-0002,Mims Hospital,20060002,2018-10-30,2021-10-29,13.3519723,74.7870308,Manipal,Private,Karnataka,295,295,2,2,0,2,3
H-2006-0018,Kerala Institute Of Medical Sciences (kims),20070003,2019-11-03,2022-11-02,12.81615,80.03677,Kattankulathur,Private,Tamil Nadu,54,54,2,2,0,2,4
H-2006-0015,Max Super Speciality Hospital,20070004,2019-02-06,2022-02-05,12.9071753,79.1309695,Vellore,Private,Tamil Nadu,216,216,1,1,0,2,4
H-2006-0014,Max Super Speciality Hospital ( A Unit Of Devki Devi Foundation),20070005,2019-02-06,2022-02-05,18.9387711,72.8353355,Mumbai,Public/Government,Maharashtra,62,62,0,0,0,1,1
H-2006-0019,Moolchand Hospital,20070006,2019-03-19,2022-03-18,12.9791198,77.5912997,Bangalore,Private,Karnataka,164,164,1,1,0,2,0
H-2006-0005,Narayana Hrudayalaya Limited,20060005,2019-06-05,2022-06-04,18.521428,73.8544541,Pune,Public/Government,Maharashtra,432,278,2,2,0,2,4
H-2007-0037,Dr L H Hiranandani Hospital,20070008,2016-09-14,2019-09-13,12.9791198,77.5912997,Bangalore,Private,Karnataka,46,46,1,1,0,1,5
H-2006-0027,Fortis Hospital,20070009,2019-12-19,2022-12-18,31.2206734,75.7696463,Phagwara,Private,Punjab,111,111,1,1,0,2,4
H-2007-0034,Sagar Hospitals,20070010,2018-02-17,2021-02-16,13.3519723,74.7870308,Manipal,Private,Karnataka,160,160,10,10,20,2,3
H-2007-0039,Columbia Asia Hospital - Hebbal,20070011,2019-12-20,2022-12-19,11.0018115,76.9628425,Coimbatore,Private,Tamil Nadu,89,89,2,2,0,2,5
H-2007-0032,Manipal Hospital,20080012,2020-02-11,2023-02-10,12.81615,80.03677,Kattankulathur,Private,Tamil Nadu,163,163,1,1,0,1,1
