plan_id,inpatient_care,outpatient_care,prescription_drugs,mental_health_care,dental_care,vision_care,deductible,coinsurance,out_of_pocket_maximum,payment_type
PLAN-0001,true,true,false,false,false,true,526,43,7929,quarterly
PLAN-0002,true,false,true,false,true,true,698,42,8155,monthly
PLAN-0003,true,true,true,true,false,false,2243,27,2542,quarterly
PLAN-0004,false,false,false,true,false,false,1588,36,4349,annual
PLAN-0005,false,true,true,false,false,false,3691,29,2673,annual
PLAN-0006,false,true,true,false,true,false,1192,37,9909,monthly
PLAN-0007,false,false,true,false,false,true,1736,19,9904,semi-annual
PLAN-0008,true,false,true,false,true,true,567,48,9812,monthly
PLAN-0009,true,true,true,false,true,false,1111,44,3665,annual
PLAN-00010,true,true,true,true,false,false,4292,35,3315,semi-annual
PLAN-00011,true,true,false,true,false,false,2561,17,2956,semi-annual
PLAN-00012,true,true,false,true,true,false,1616,23,3529,quarterly
PLAN-00013,true,false,false,true,true,true,4479,37,8264,quarterly
PLAN-00014,false,true,true,false,false,true,1855,17,6734,monthly
PLAN-00015,false,true,false,true,true,false,4217,44,7868,monthly
PLAN-00016,true,false,false,false,false,false,3508,27,6943,monthly
PLAN-00017,false,false,false,true,false,true,3866,29,3333,semi-annual
PLAN-00018,false,false,false,true,true,true,792,27,7636,annual
PLAN-00019,false,true,true,true,false,false,1916,46,4550,quarterly
PLAN-00020,false,false,true,true,false,false,575,44,2714,semi-annual
